date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:25	5962/5962	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jun%202023%2014:49:32%20GMT	https://bhide.net/wordpress_files/wp-content/uploads/2023/06/BhideSpring2022formalheadshot-cropped-small-150x150.jpg	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/uploads/2023/06/BhideSpring2022formalheadshot-cropped-small-150x150.jpg	(from https://bhide.net/wordpress_files/)
09:14:25	71214/71214	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jun%202023%2014:49:32%20GMT	https://bhide.net/wordpress_files/wp-content/uploads/2023/06/BhideSpring2022formalheadshot-cropped-small.jpg	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/uploads/2023/06/BhideSpring2022formalheadshot-cropped-small.jpg	(from https://bhide.net/wordpress_files/)
09:14:26	121884/121884	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Aug%202023%2016:41:28%20GMT	https://bhide.net/wordpress_files/wp-content/uploads/2023/07/cropped-BhideSpring2022formalheadshot-scaled-1-1024x1024.jpg	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/uploads/2023/07/cropped-BhideSpring2022formalheadshot-scaled-1-1024x1024.jpg	(from https://bhide.net/wordpress_files/)
09:14:26	344521/344521	---M--	200	added ('OK')	application/pdf	date:Tue,%2023%20Apr%202024%2014:30:20%20GMT	https://bhide.net/wordpress_files/wp-content/uploads/2024/04/CV_A_Bhide_Apr_2024.pdf	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/uploads/2024/04/CV_A_Bhide_Apr_2024.pdf	(from https://bhide.net/wordpress_files/)
09:14:26	527791/527791	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Sep%202024%2020:18:32%20GMT	https://bhide.net/wordpress_files/wp-content/uploads/2024/09/3d-book-cover-image.png	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/uploads/2024/09/3d-book-cover-image.png	(from https://bhide.net/wordpress_files/)
09:14:26	4265/4265	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/sticky/jquery.sticky.min.js?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/sticky/jquery.sticky.min58e0.js	(from https://bhide.net/wordpress_files/)
09:14:26	19292/19292	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/news-ticker/jquery.new.newsTicker.js?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/news-ticker/jquery.new.newsTicker58e0.js	(from https://bhide.net/wordpress_files/)
09:14:27	2692/2692	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/navigation.min.js?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/navigation.min58e0.js	(from https://bhide.net/wordpress_files/)
09:14:27	2063/2063	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Dec%202025%2021:21:15%20GMT	https://bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/fitvids/jquery.fitvids.min.js?ver=5.1.4	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/wp-content/themes/colormag-pro/assets/js/fitvids/jquery.fitvids.min58e0.js	(from https://bhide.net/wordpress_files/)
09:14:27	94292/94292	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20May%202026%2013:14:27%20GMT	https://bhide.net/wordpress_files/index.php/publications/origin-and-evolution-of-new-businesses/	C:/My%20Web%20Sites/bhide-static/bhide.net/wordpress_files/index.php/publications/origin-and-evolution-of-new-businesses/index.html	(from https://bhide.net/wordpress_files/)
